영양DB대분류,영양DB중분류,영양DB소분류,영양식품코드,영양식품명,영양DB그룹명,영양식품세분류명,원재료명,원재료명이명,기존표시명,분류기준,데이터출처구분,제철시기(월),보관,손질,세척,신선도체크,대표식품명,영양성분기준량,에너지_kcal,수분_g,단백질_g,지방_g,회분_g,탄수화물_g,당류_g,식이섬유_g,칼슘_mg,철_mg,인_mg,칼륨_mg,나트륨_mg,콜레스테롤_mg,포화지방산_g,트랜스지방산_g,보관출처명,보관출처URL,손질출처명,손질출처URL,세척출처명,세척출처URL,신선도출처명,신선도출처URL,영양출처명,제철시기출처명,제철시기출처URL
구이류,해당없음,해당없음,D108-376000000-0001,떡갈비,음식,해당없음,떡갈비,떡갈비,떡갈비,가공식품류,영양만 있음,,,,,,떡갈비,100g,202.000,62.4,21.38,11.82,1.93,2.46,0.4,1.1,22.00,2.9,170.0,299.000,404.000,0.0,68.04,4.29,,,,,,,,,식품의약품안전처,,
음료류,과일·채소류음료,과·채주스,P109-302030200-3391,레몬즙,가공식품,해당없음,레몬즙,라임즙 / 레몬즙,레몬즙,가공식품류,영양만 있음,,,,,,과·채주스,100mL,35.00,,0.2,0.1,,8.3,2.9,,,,,,2.00,,0.0,0.0,,,,,,,,,식품의약품안전처,,
음료류,다류,액상차,P109-102010200-1204,레몬청,가공식품,해당없음,레몬청,레몬청,레몬청,가공식품류,영양만 있음,,,,,,액상차,100g,260.000,,0.0,0.0,,65.0,60.0,,,,,,0.00,,0.0,0.0,,,,,,,,,식품의약품안전처,,
장아찌·절임류,해당없음,해당없음,D317-697000000-0001,마늘장아찌,음식,해당없음,마늘장아찌,장아찌 / 마늘장아찌,마늘장아찌,가공식품류,영양+가이드,1,"수분을 많이 함유한 재료는 소금에 절이거나 끓는 물에 데치거나 햇볕에 말리는 등의 전처리를 하여 자체 내의 수분을 일부 제거한 후 장이나 젓갈 등에 넣어야 장기간 보존할 수 있다. 장에 재료를 넣을 때 깻잎이나 콩잎, 뽕잎은 10여 장씩 묶어서 넣고 고추, 고춧잎, 대추, 더덕, 도라지, 김, 묵, 두부, 미역, 파래 등은 베주머니나 망 속에 넣어서 장에 박아야 꺼내 먹을 때 편리하다. 간장을 이용한 장아찌는 재료에서 수분이 배출되므로 담근 다음 며칠 지나면 간장을 따라 내어 끓여서 수분을 증발시킨 후 식혀서 다시 붓기를 2~3차례 계속하고, 간장 위로 장아찌가 떠오르지 않도록 무거운 것으로 눌러야 한다. 장아찌는 항아리에 담아 두고 필요할 때마다 조금씩 꺼내 먹으며, 장 위로 장아찌가 나오지 않도록 위를 꼭꼭 눌러 두어야 맛이 변하지 않고 오랫동안 먹을 수 있다.","장아찌의 재료는 깨끗이 씻어서 담아야 하며, 더덕이나 도라지와 같이 쓴맛이 있는 것은 소금물에 잠시 담가 쓴맛을 제거한다. 깻잎, 콩잎, 마늘 쫑, 고들빼기, 감, 매실 등은 소금물에 일정 기간 숙성하여 부드럽게 하고, 마늘, 생강과 같이 강한 매운맛을 지닌 것은 식초물에 삭혔다가 담는다.","섭취 또는 조리 전 식재료 특성에 맞게 이물질을 제거하고, 세척이 필요한 경우 흐르는 물에 충분히 씻는다.",,마늘장아찌,100g,113.000,68.8,2.43,0.16,3.25,25.36,15.03,2.9,7.00,0.37,29.0,69.00,"1,127.000",0.0,0.0,0.04,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=10&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=10&menuId=PS03599,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,,,농진청('15),농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
장아찌·절임류,해당없음,해당없음,D317-698000000-0001,마늘쫑장아찌,음식,해당없음,마늘쫑장아찌,장아찌 / 마늘쫑장아찌,마늘쫑장아찌,가공식품류,영양+가이드,1,"수분을 많이 함유한 재료는 소금에 절이거나 끓는 물에 데치거나 햇볕에 말리는 등의 전처리를 하여 자체 내의 수분을 일부 제거한 후 장이나 젓갈 등에 넣어야 장기간 보존할 수 있다. 장에 재료를 넣을 때 깻잎이나 콩잎, 뽕잎은 10여 장씩 묶어서 넣고 고추, 고춧잎, 대추, 더덕, 도라지, 김, 묵, 두부, 미역, 파래 등은 베주머니나 망 속에 넣어서 장에 박아야 꺼내 먹을 때 편리하다. 간장을 이용한 장아찌는 재료에서 수분이 배출되므로 담근 다음 며칠 지나면 간장을 따라 내어 끓여서 수분을 증발시킨 후 식혀서 다시 붓기를 2~3차례 계속하고, 간장 위로 장아찌가 떠오르지 않도록 무거운 것으로 눌러야 한다. 장아찌는 항아리에 담아 두고 필요할 때마다 조금씩 꺼내 먹으며, 장 위로 장아찌가 나오지 않도록 위를 꼭꼭 눌러 두어야 맛이 변하지 않고 오랫동안 먹을 수 있다.","장아찌의 재료는 깨끗이 씻어서 담아야 하며, 더덕이나 도라지와 같이 쓴맛이 있는 것은 소금물에 잠시 담가 쓴맛을 제거한다. 깻잎, 콩잎, 마늘 쫑, 고들빼기, 감, 매실 등은 소금물에 일정 기간 숙성하여 부드럽게 하고, 마늘, 생강과 같이 강한 매운맛을 지닌 것은 식초물에 삭혔다가 담는다.","섭취 또는 조리 전 식재료 특성에 맞게 이물질을 제거하고, 세척이 필요한 경우 흐르는 물에 충분히 씻는다.",,마늘쫑장아찌,100g,118.000,66.5,1.96,0.14,4.06,27.34,13.02,5.2,21.00,0.61,19.0,105.000,"1,410.000",0.0,0.0,0.04,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=10&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=10&menuId=PS03599,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,,,농진청('15),농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
장아찌·절임류,해당없음,해당없음,D317-699000000-0001,매실장아찌,음식,해당없음,매실장아찌,장아찌 / 매실장아찌,매실장아찌,가공식품류,영양+가이드,1,"수분을 많이 함유한 재료는 소금에 절이거나 끓는 물에 데치거나 햇볕에 말리는 등의 전처리를 하여 자체 내의 수분을 일부 제거한 후 장이나 젓갈 등에 넣어야 장기간 보존할 수 있다. 장에 재료를 넣을 때 깻잎이나 콩잎, 뽕잎은 10여 장씩 묶어서 넣고 고추, 고춧잎, 대추, 더덕, 도라지, 김, 묵, 두부, 미역, 파래 등은 베주머니나 망 속에 넣어서 장에 박아야 꺼내 먹을 때 편리하다. 간장을 이용한 장아찌는 재료에서 수분이 배출되므로 담근 다음 며칠 지나면 간장을 따라 내어 끓여서 수분을 증발시킨 후 식혀서 다시 붓기를 2~3차례 계속하고, 간장 위로 장아찌가 떠오르지 않도록 무거운 것으로 눌러야 한다. 장아찌는 항아리에 담아 두고 필요할 때마다 조금씩 꺼내 먹으며, 장 위로 장아찌가 나오지 않도록 위를 꼭꼭 눌러 두어야 맛이 변하지 않고 오랫동안 먹을 수 있다.","장아찌의 재료는 깨끗이 씻어서 담아야 하며, 더덕이나 도라지와 같이 쓴맛이 있는 것은 소금물에 잠시 담가 쓴맛을 제거한다. 깻잎, 콩잎, 마늘 쫑, 고들빼기, 감, 매실 등은 소금물에 일정 기간 숙성하여 부드럽게 하고, 마늘, 생강과 같이 강한 매운맛을 지닌 것은 식초물에 삭혔다가 담는다.","섭취 또는 조리 전 식재료 특성에 맞게 이물질을 제거하고, 세척이 필요한 경우 흐르는 물에 충분히 씻는다.",,매실장아찌,100g,243.000,36.5,1.65,0.43,3.35,58.11,38.16,3.9,30.00,0.0,35.0,232.000,"1,126.000",,0.0,0.08,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=10&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=10&menuId=PS03599,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,,,식품의약품안전처,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
음료류,기타음료,음료베이스,P109-802080200-0053,매실청,가공식품,해당없음,매실청,매실액 / 매실청 / 매화나무,매실청,가공식품류,영양만 있음,,,,,,농축음료/베이스,100mL,213.000,46.7,0.23,0.18,0.2,52.72,44.06,0.3,4.00,0.11,7.0,104.000,1.00,,0.0,0.01,,,,,,,,,식품의약품안전처,,
절임류 또는 조림류,김치류,김치,P114-101010200-F008-000,무말랭이무침,가공식품,,무말랭이,무말랭이,무말랭이,가공식품류,영양+가이드,"10

12","가정에서 단기간 보관할 경우는 냉장고에 신문지 등에 잘 싸서 보관한다. 파가 물에 닿았을 경우는 빨리 이용하며, 남은 것은 잘게 썰어서 밀폐용기에 넣어 냉장 또는 냉동 보관하면 이용하는 데 편리하다. 오래 보관할 필요가 있을 경우에는 햇빛이 들지 않는 화분 등에 묻어 두면 어느 정도 보관이 가능하다. 이때 파는 줄기가 굵은 것이 좋다.

무를 오랫동안 저장하려면 4~5℃가 적합하다. 저장할 때 잎이 뿌리의 수분을 빼앗아 바람이 들 수 있으므로 잎을 잘라내고 흙이 묻은 상태로 랩이나 신문지에 싸서 바람이 잘 통하고 그늘진 곳에 저장하면 5~7일 정도 보관할 수 있다.","우선 뿌리에 묻은 흙을 털어낸 다음, 뿌리 밑바닥의 까맣고 단단한 부분을 떼어낸다. 그 후 물에 잠깐 담가 미세 흙먼지를 불려둔 후 흐르는 물에 씻으면 깨끗이 씻을 수 있다. 특히 파뿌리를 말려서 차를 만들거나 육수를 낼 때 사용하려면 더욱 깨끗이 씻는다. 조리에 사용할 때는 뿌리 부분을 자른 다음 잎 부분의 노랗게 시든 부분과 손상된 부분을 떼어내고 용도에 맞게 다듬어 사용한다. 김치를 담글 때는 잎 부분에 공기가 들어갈 수 있도록 끝부분을 살짝 잘라내어야 양념이 골고루 배어 맛있다.

무는 부위에 따라 맛이 다르므로 깨끗이 씻은 후 용도에 맞게 부위를 선택해 사용한다. 크고 묵직해 통째로 들고 손질하기 힘들면 쓸 부분만 토막 내어 사용한다.",,"잎의 짙은 녹색이 균일하며 연하고 깨끗해야 하며 줄기 부분이 여러 갈래로 가늘게 나누어지지 않은 것을 고르는 것이 좋다. 아래 흰 부분이 윤기가 있고 크기가 균일한 것이 좋으며 보기에 힘차게 뻗은 것이 신선한 쪽파이다.

맛있는 김장 무는 모양이 곧고 잔뿌리가 없으며 표면이 하얗고 매끄러운 것이 좋다. 들었을 때 묵직하고 살짝 눌렀을 때 단단함이 느껴져야 한다. 무 윗부분에 녹색이 전체 크기의 1/3 정도라면 잘 자라 좋은 영양소가 듬뿍 담긴 무다. 최근 육성된 소형 무는 일반 김장 무보다 작지만 조직이 치밀해 겨울철 별미인 동치미를 담그면 더 아삭하게 즐길 수 있다.",김치,100g,131.000,63.9,2.25,0.61,4.0,29.24,16.75,7.6,87.00,1.83,43.0,266.000,"1,073.000",0.0,0.0,0.0,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=128&menuId=PS03599 / view?fd_se=286&fd_snn=147&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=128&menuId=PS03599 / view?fd_se=286&fd_snn=147&menuId=PS03599,,,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=128&menuId=PS03599 / view?fd_se=286&fd_snn=147&menuId=PS03599,식품의약품안전처,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
장아찌·절임류,해당없음,해당없음,D317-700000000-0001,무장아찌,음식,해당없음,무장아찌,장아찌 / 무장아찌,무장아찌,가공식품류,영양+가이드,1,"수분을 많이 함유한 재료는 소금에 절이거나 끓는 물에 데치거나 햇볕에 말리는 등의 전처리를 하여 자체 내의 수분을 일부 제거한 후 장이나 젓갈 등에 넣어야 장기간 보존할 수 있다. 장에 재료를 넣을 때 깻잎이나 콩잎, 뽕잎은 10여 장씩 묶어서 넣고 고추, 고춧잎, 대추, 더덕, 도라지, 김, 묵, 두부, 미역, 파래 등은 베주머니나 망 속에 넣어서 장에 박아야 꺼내 먹을 때 편리하다. 간장을 이용한 장아찌는 재료에서 수분이 배출되므로 담근 다음 며칠 지나면 간장을 따라 내어 끓여서 수분을 증발시킨 후 식혀서 다시 붓기를 2~3차례 계속하고, 간장 위로 장아찌가 떠오르지 않도록 무거운 것으로 눌러야 한다. 장아찌는 항아리에 담아 두고 필요할 때마다 조금씩 꺼내 먹으며, 장 위로 장아찌가 나오지 않도록 위를 꼭꼭 눌러 두어야 맛이 변하지 않고 오랫동안 먹을 수 있다.","장아찌의 재료는 깨끗이 씻어서 담아야 하며, 더덕이나 도라지와 같이 쓴맛이 있는 것은 소금물에 잠시 담가 쓴맛을 제거한다. 깻잎, 콩잎, 마늘 쫑, 고들빼기, 감, 매실 등은 소금물에 일정 기간 숙성하여 부드럽게 하고, 마늘, 생강과 같이 강한 매운맛을 지닌 것은 식초물에 삭혔다가 담는다.","섭취 또는 조리 전 식재료 특성에 맞게 이물질을 제거하고, 세척이 필요한 경우 흐르는 물에 충분히 씻는다.",,무장아찌,100g,80.00,73.3,1.47,0.76,7.7,16.76,9.62,2.4,28.00,0.01,24.0,185.000,"2,933.000",,0.13,0.04,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=10&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=10&menuId=PS03599,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,,,식품의약품안전처,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
절임류 또는 조림류,김치류,김치,P114-101010200-0016,묵은지,가공식품,해당없음,묵은지,묵은지,묵은지,가공식품류,영양만 있음,,,,,,배추김치,100g,30.00,,1.0,0.9,,5.0,0.75,,,,,,920.000,,0.0,0.0,,,,,,,,,식품의약품안전처,,
음료류,다류,액상차,P109-102010200-0737,배즙,가공식품,해당없음,배즙,배 / 배즙,배즙,가공식품류,영양만 있음,,,,,,액상차,100mL,48.00,,0.0,0.0,,12.0,6.0,,,,,,0.00,,0.0,0.0,,,,,,,,,식품의약품안전처,,
김치류,해당없음,해당없음,D315-670000000-0001,배추김치,음식,해당없음,배추김치,배추김치,배추김치,가공식품류,영양+가이드,"10

12","가정에서 단기간 보관할 경우는 냉장고에 신문지 등에 잘 싸서 보관한다. 파가 물에 닿았을 경우는 빨리 이용하며, 남은 것은 잘게 썰어서 밀폐용기에 넣어 냉장 또는 냉동 보관하면 이용하는 데 편리하다. 오래 보관할 필요가 있을 경우에는 햇빛이 들지 않는 화분 등에 묻어 두면 어느 정도 보관이 가능하다. 이때 파는 줄기가 굵은 것이 좋다.

무를 오랫동안 저장하려면 4~5℃가 적합하다. 저장할 때 잎이 뿌리의 수분을 빼앗아 바람이 들 수 있으므로 잎을 잘라내고 흙이 묻은 상태로 랩이나 신문지에 싸서 바람이 잘 통하고 그늘진 곳에 저장하면 5~7일 정도 보관할 수 있다.","우선 뿌리에 묻은 흙을 털어낸 다음, 뿌리 밑바닥의 까맣고 단단한 부분을 떼어낸다. 그 후 물에 잠깐 담가 미세 흙먼지를 불려둔 후 흐르는 물에 씻으면 깨끗이 씻을 수 있다. 특히 파뿌리를 말려서 차를 만들거나 육수를 낼 때 사용하려면 더욱 깨끗이 씻는다. 조리에 사용할 때는 뿌리 부분을 자른 다음 잎 부분의 노랗게 시든 부분과 손상된 부분을 떼어내고 용도에 맞게 다듬어 사용한다. 김치를 담글 때는 잎 부분에 공기가 들어갈 수 있도록 끝부분을 살짝 잘라내어야 양념이 골고루 배어 맛있다.

무는 부위에 따라 맛이 다르므로 깨끗이 씻은 후 용도에 맞게 부위를 선택해 사용한다. 크고 묵직해 통째로 들고 손질하기 힘들면 쓸 부분만 토막 내어 사용한다.",,"잎의 짙은 녹색이 균일하며 연하고 깨끗해야 하며 줄기 부분이 여러 갈래로 가늘게 나누어지지 않은 것을 고르는 것이 좋다. 아래 흰 부분이 윤기가 있고 크기가 균일한 것이 좋으며 보기에 힘차게 뻗은 것이 신선한 쪽파이다.

맛있는 김장 무는 모양이 곧고 잔뿌리가 없으며 표면이 하얗고 매끄러운 것이 좋다. 들었을 때 묵직하고 살짝 눌렀을 때 단단함이 느껴져야 한다. 무 윗부분에 녹색이 전체 크기의 1/3 정도라면 잘 자라 좋은 영양소가 듬뿍 담긴 무다. 최근 육성된 소형 무는 일반 김장 무보다 작지만 조직이 치밀해 겨울철 별미인 동치미를 담그면 더 아삭하게 즐길 수 있다.",배추김치,100g,38.00,88.9,1.98,0.43,2.21,6.49,2.4,2.5,43.00,0.43,49.0,334.000,551.000,0.0,0.0,0.07,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=128&menuId=PS03599 / view?fd_se=286&fd_snn=147&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=128&menuId=PS03599 / view?fd_se=286&fd_snn=147&menuId=PS03599,,,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=128&menuId=PS03599 / view?fd_se=286&fd_snn=147&menuId=PS03599,농진청(’22),농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
식육가공품 및 포장육,베이컨류(축산물가공품),해당없음,P117-000030000-0000,베이컨,원재료성,해당없음,베이컨,베이컨,베이컨,가공식품류,영양만 있음,,,,,,베이컨,100g,266.000,58.5,16.58,21.6,2.17,1.2,1.14,0.0,6.00,0.54,206.0,222.000,662.000,0.58,54.69,8.01,,,,,,,,,농진청(’21),,
과일류,해당없음,완숙,R108-076004500-0000,올리브 피클_숙과,원재료성 식품,해당없음,블랙올리브,블랙올리브,블랙올리브,가공식품류,영양만 있음,,,,,,올리브 피클,100g,121,81.6,0.8,12.3,1.9,3.4,,2.5,68,0.8,5.0,10,640,,2.07,,,,,,,,,,농촌진흥청(국가표준식품성분표),,
음료류,과일·채소류음료,농축과·채즙(또는 과·채분),P109-302030100-0053,사과즙,가공식품,해당없음,사과즙,사과 / 사과즙,사과즙,가공식품류,영양만 있음,,,,,,과·채주스,100mL,63.00,,0.45,0.0,,13.64,13.18,,,,,,0.00,,0.0,0.0,,,,,,,,,식품의약품안전처,,
음료류,탄산음료류,탄산음료,P109-019040100-F001-001,사이다,가공식품,,사이다,사이다,사이다,가공식품류,영양만 있음,,,,,,탄산음료,100mL,43.00,90.0,0.0,0.0,0.02,10.8,10.8,0.0,2.00,0.01,0.0,0.00,2.00,0.0,0.0,0.0,,,,,,,,,식품의약품안전처,,
음료류,과일·채소류음료,과·채주스,P109-302030200-3474,생강즙,가공식품,해당없음,생강즙,건강 / 생강즙,생강즙,가공식품류,영양만 있음,,,,,,과·채주스,100mL,6.00,,0.1,0.1,,1.2,0.5,,,,,,3.00,,0.0,0.0,,,,,,,,,식품의약품안전처,,
절임류 또는 조림류,절임류,당절임,P114-203020200-0025,생강청,가공식품,해당없음,생강청,건강 / 생강청,생강청,가공식품류,영양만 있음,,,,,,과·채당절임,100g,246.000,39.1,0.1,0.65,0.2,59.9,57.61,,8.00,0.1,2.0,48.00,47.00,,0.0,0.01,,,,,,,,,식품의약품안전처,,
식육가공품 및 포장육,소시지류(*축산물가공품),소시지,P117-000020100-0000,"소시지, 말린것",원재료성,해당없음,소시지,비엔나소세지 / 비엔나소시지 / 소세지 / 소시지 / 프랑크소시지,소시지,가공식품류,영양만 있음,,,,,,소시지,100g,467.000,23.5,26.7,42.0,5.3,2.6,1.9,0.0,27.00,2.6,250.0,430.000,"1,700.000",0.5,95.0,15.61,,,,,,,,,JAPAN(’20),,
찜류,해당없음,해당없음,D107-337000000-0001,순대,음식,해당없음,순대,순대,순대,가공식품류,영양만 있음,,,,,,순대,100g,187.000,56.2,2.75,3.64,1.72,35.73,1.39,1.9,17.00,3.33,55.0,33.00,604.000,0.0,26.24,1.12,,,,,,,,,식품의약품안전처,,
농산가공식품류,기타 농산가공품류,곡류가공품,P116-705070200-1618,스위트 콘,가공식품,해당없음,스위트콘,스위트콘,스위트콘,가공식품류,영양만 있음,,,,,,기타 농산가공품,100g,80.00,,2.0,1.7,,13.0,5.0,2.0,,,,,213.000,,0.0,0.0,,,,,,,,,식품의약품안전처,,
식육가공품 및 포장육,햄류(축산물가공품),햄,P117-000010100-0002,"햄, 프레스햄",원재료성,해당없음,스팸,스팸,스팸,가공식품류,영양만 있음,,,,,,햄,100g,234.000,61.8,15.11,18.02,2.33,2.77,1.92,0.0,26.00,0.63,204.0,339.000,628.000,0.51,46.13,6.08,,,,,,,,,농진청(’20),,
채소류,해당없음,해당없음,R106-222000020-0000,쌈무_초절임_식초에 절인것,원재료성,식초에 절인것,쌈무,글리코시드과일무 / 무쌈 / 무우 / 수박무 / 쌈무,쌈무,가공식품류,영양만 있음,,,,,,쌈무,100g,15.00,95.0,0.54,0.03,1.33,3.1,1.46,2.3,16.00,0.16,10.0,138.000,400.000,0.0,0.0,0.01,,,,,,,,,농진청('16),,
장아찌·절임류,해당없음,해당없음,D617-709000000-0001,양파장아찌,음식,해당없음,양파장아찌,장아찌 / 양파장아찌,양파장아찌,가공식품류,영양+가이드,1,"수분을 많이 함유한 재료는 소금에 절이거나 끓는 물에 데치거나 햇볕에 말리는 등의 전처리를 하여 자체 내의 수분을 일부 제거한 후 장이나 젓갈 등에 넣어야 장기간 보존할 수 있다. 장에 재료를 넣을 때 깻잎이나 콩잎, 뽕잎은 10여 장씩 묶어서 넣고 고추, 고춧잎, 대추, 더덕, 도라지, 김, 묵, 두부, 미역, 파래 등은 베주머니나 망 속에 넣어서 장에 박아야 꺼내 먹을 때 편리하다. 간장을 이용한 장아찌는 재료에서 수분이 배출되므로 담근 다음 며칠 지나면 간장을 따라 내어 끓여서 수분을 증발시킨 후 식혀서 다시 붓기를 2~3차례 계속하고, 간장 위로 장아찌가 떠오르지 않도록 무거운 것으로 눌러야 한다. 장아찌는 항아리에 담아 두고 필요할 때마다 조금씩 꺼내 먹으며, 장 위로 장아찌가 나오지 않도록 위를 꼭꼭 눌러 두어야 맛이 변하지 않고 오랫동안 먹을 수 있다.","장아찌의 재료는 깨끗이 씻어서 담아야 하며, 더덕이나 도라지와 같이 쓴맛이 있는 것은 소금물에 잠시 담가 쓴맛을 제거한다. 깻잎, 콩잎, 마늘 쫑, 고들빼기, 감, 매실 등은 소금물에 일정 기간 숙성하여 부드럽게 하고, 마늘, 생강과 같이 강한 매운맛을 지닌 것은 식초물에 삭혔다가 담는다.","섭취 또는 조리 전 식재료 특성에 맞게 이물질을 제거하고, 세척이 필요한 경우 흐르는 물에 충분히 씻는다.",,양파장아찌,100mL,63.00,69.2,0.6,0.03,,16.05,15.42,1.0,17.00,0.17,18.0,112.000,"6,050.000",0.0,0.0,0.01,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=10&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=10&menuId=PS03599,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,,,식품의약품안전처,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
수산가공식품류,어육가공품류,어묵,P120-000010400-0001,"어묵, 게맛살 첨가",원재료성,해당없음,어묵,납작어묵 / 사각어묵 / 어묵,어묵,가공식품류,영양만 있음,,,,,,어묵,100g,112.000,70.6,10.8,0.8,2.6,15.2,,,218.000,0.8,199.0,108.000,792.000,,,,,,,,,,,,식약처('96),,
