ingredient_id,alias_id,relationship
ingredient_0197,alias_0443,HAS_ALIAS
ingredient_0198,alias_0444,HAS_ALIAS
ingredient_0198,alias_0445,HAS_ALIAS
ingredient_0198,alias_0446,HAS_ALIAS
ingredient_0199,alias_0447,HAS_ALIAS
ingredient_0199,alias_0271,HAS_ALIAS
ingredient_0199,alias_0275,HAS_ALIAS
ingredient_0200,alias_0448,HAS_ALIAS
ingredient_0200,alias_0449,HAS_ALIAS
ingredient_0200,alias_0450,HAS_ALIAS
ingredient_0200,alias_0451,HAS_ALIAS
ingredient_0200,alias_0452,HAS_ALIAS
ingredient_0200,alias_0453,HAS_ALIAS
ingredient_0200,alias_0454,HAS_ALIAS
ingredient_0200,alias_0455,HAS_ALIAS
ingredient_0200,alias_0280,HAS_ALIAS
ingredient_0200,alias_0456,HAS_ALIAS
ingredient_0200,alias_0281,HAS_ALIAS
ingredient_0200,alias_0457,HAS_ALIAS
ingredient_0200,alias_0458,HAS_ALIAS
ingredient_0200,alias_0459,HAS_ALIAS
ingredient_0201,alias_0460,HAS_ALIAS
ingredient_0201,alias_0461,HAS_ALIAS
ingredient_0201,alias_0462,HAS_ALIAS
ingredient_0201,alias_0463,HAS_ALIAS
ingredient_0201,alias_0464,HAS_ALIAS
ingredient_0202,alias_0465,HAS_ALIAS
ingredient_0202,alias_0466,HAS_ALIAS
ingredient_0203,alias_0467,HAS_ALIAS
ingredient_0203,alias_0468,HAS_ALIAS
ingredient_0203,alias_0469,HAS_ALIAS
ingredient_0203,alias_0470,HAS_ALIAS
ingredient_0203,alias_0471,HAS_ALIAS
ingredient_0203,alias_0472,HAS_ALIAS
ingredient_0203,alias_0473,HAS_ALIAS
ingredient_0203,alias_0474,HAS_ALIAS
ingredient_0203,alias_0475,HAS_ALIAS
ingredient_0203,alias_0476,HAS_ALIAS
ingredient_0204,alias_0477,HAS_ALIAS
ingredient_0204,alias_0478,HAS_ALIAS
ingredient_0204,alias_0479,HAS_ALIAS
ingredient_0204,alias_0480,HAS_ALIAS
