RCP_SNO,CKG_NM,CRAWL_COMMENT_CNT,CRAWL_COOK_REVIEW_CNT
7018825,닭가슴살 치킨까스,0.0,
7018826,굴 미역국,1.0,
7018829,카스텔라 경단,0.0,
7018830,대패삼겹살 두부찌개,0.0,
7018844,매운 족발,0.0,
7018846,춘장 짜장,0.0,
7018848,순두부 양념장,0.0,
7018851,쌍화탕 수육,0.0,
7018853,고구마 치즈호떡,0.0,
7018855,감자 옹심이,0.0,
7018859,해물짬뽕라면,0.0,
7018861,스팸김치볶음밥,0.0,1.0
7018865,들깨가루 궁채나물볶음,0.0,
7018870,돼지고기 무청우거지된장국,0.0,
7018873,느타리버섯전,0.0,
7018888,달래간장,0.0,
7018889,무파래무침,0.0,
7018890,크림파스타,0.0,
7018891,콩나물 솥밥,0.0,2.0
7018892,두부구이,0.0,
7018897,참치 순두부찌개,0.0,
7018901,김치 만두,0.0,
7018903,안동찜닭,0.0,1.0
7018908,스팸감자볶음,0.0,
7018912,들깨 강정,0.0,
7018913,참치김치덮밥,0.0,2.0
7018920,콘파냐,0.0,
7018922,크래미 깻잎전,0.0,2.0
7018923,명란 오차즈케,0.0,
7018924,냉이솥밥,0.0,1.0
7018927,마른오징어 꽈리고추볶음,0.0,
7018928,묵은지 갈치 무조림,0.0,1.0
7018935,영광굴비 조기찜,0.0,
7018943,콩나물전,0.0,
7018944,돼지앞다리살 제육볶음,0.0,
7018946,물파래전,0.0,
7018950,동태꽃게탕,0.0,
7018951,숙주 나물무침,0.0,1.0
7018952,돼지고기 동그랑땡,0.0,
7018956,멸치국수,0.0,
7018961,호떡 떡볶이,0.0,
7018967,꼬지전,0.0,2.0
7018970,고구마전,0.0,
7018972,얼큰 콩나물 어묵탕,0.0,
7018975,파프리카 계란찜,0.0,
7018976,크림브륄레 라떼,0.0,
7018979,무 굴국,0.0,
7018980,닭다리조림,0.0,2.0
7018982,핫도그 사라다빵,0.0,
7018983,새우 야채죽,0.0,1.0
7018986,맥주 수육,0.0,
7018987,양배추샐러드 참깨드레싱,0.0,
7018991,쪽갈비구이,0.0,
7018993,봄동 샤브샤브,0.0,
7018996,봄동 겉절이,0.0,1.0
7018997,들깨 무국,0.0,
7019005,즉석 떡볶이,0.0,
7019007,땡초김밥,0.0,2.0
7019008,오리엔탈드레싱,0.0,
7019014,라면땅,0.0,
7019019,갈낙탕,0.0,
7019030,황태국,0.0,
7019039,콘샐러드,0.0,
7019042,소고기 카레,0.0,
7019043,샤인머스캣 에이드,0.0,
7019044,참치 주먹밥,0.0,
7019045,와플,3.0,
7019046,먹태구이,0.0,
7019047,전복 솥밥,0.0,
7019052,삼겹살 가지볶음,0.0,
7019053,세꼬시회덮밥,0.0,1.0
7019054,참치김치볶음밥,2.0,
7019060,아인슈페너 라떼,0.0,1.0
7019061,계란 양배추전,0.0,
7019063,어묵잡채,0.0,
7019064,약밥,0.0,
7019066,다이키리,0.0,
7019072,꼬막장,0.0,
7019073,등뼈찜,0.0,5.0
7019076,샐러드,0.0,
7019078,크림치즈 파운드케이크,0.0,
7019082,김치 어묵 우동,0.0,2.0
7019083,목살대파고추장볶음,0.0,
7019093,야채전,0.0,
7019111,우엉볶음,0.0,
7019112,김구이,0.0,
7019113,닭가슴살 야채볶음,0.0,
7019115,콩나물무침,0.0,
7019118,전복 버터구이,0.0,
7019120,어니언링,0.0,
